I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDN,365.641,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDS,1439.767,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",SA1,468.168,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TAS1,103.397,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TASN,53.114,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TASS,50.267,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",VIC1,1896.6,1,MEASUREMENT,"2022/02/20 11:49:36"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",NSW1,3025.716,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLD1,2126.071,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDC,244.713,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDN,357.094,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDS,1524.263,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",SA1,510.743,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TAS1,119.359,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TASN,62.425,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TASS,56.924,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",VIC1,1887.07,1,MEASUREMENT,"2022/02/20 12:19:31"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:30:00",NSW1,3060.095,1,MEASUREMENT,"2022/02/20 12:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:30:00",QLD1,2139.763,1,MEASUREMENT,"2022/02/20 12:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:30:00",QLDC,243.309,1,MEASUREMENT,"2022/02/20 12:49:34"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:30:00",QLDN,362.799,1,MEASUREMENT,"2022/02/20 12:49:34"
