I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",QLDS,1218.872,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",SA1,414.447,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TAS1,94.032,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TASN,52.089,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",TASS,41.943,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 11:30:00",VIC1,1875.474,0.6,SATELLITE,"2022/02/20 11:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",NSW1,2980.704,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLD1,1945.994,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDC,276.86,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDN,464.433,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",QLDS,1204.701,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",SA1,408.099,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TAS1,103.422,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TASN,52.799,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",TASS,50.623,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 12:00:00",VIC1,1825.247,0.6,SATELLITE,"2022/02/20 12:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",NSW1,1268.079,0.6,SATELLITE,"2022/02/20 16:50:27"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",QLD1,1172.328,0.6,SATELLITE,"2022/02/20 16:50:27"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",QLDC,107.532,0.6,SATELLITE,"2022/02/20 16:50:27"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",QLDN,231.194,0.6,SATELLITE,"2022/02/20 16:50:27"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",QLDS,833.602,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",SA1,576.882,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",TAS1,57.693,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",TASN,27.863,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",TASS,29.83,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 16:30:00",VIC1,666.491,0.6,SATELLITE,"2022/02/20 16:50:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",NSW1,953.485,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",QLD1,869.963,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",QLDC,78.599,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",QLDN,180.096,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",QLDS,611.268,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",SA1,442.39,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",TAS1,43.745,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",TASN,19.465,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",TASS,24.28,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:00:00",VIC1,533.214,0.6,SATELLITE,"2022/02/20 17:20:28"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:30:00",NSW1,641.398,0.6,SATELLITE,"2022/02/20 17:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:30:00",QLD1,547.633,0.6,SATELLITE,"2022/02/20 17:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:30:00",QLDC,48.108,0.6,SATELLITE,"2022/02/20 17:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 17:30:00",QLDN,122.108,0.6,SATELLITE,"2022/02/20 17:50:25"
